EmployeeID,Gender,Age,EducationLevel,DepartmentID,JobRole,HireYear,EmploymentType
1001,Male,44,Master,2,Analyst,2010,Full-Time
1002,Female,31,Master,7,Associate,2019,Full-Time
1003,Male,28,Bachelor,5,Associate,2017,Full-Time
1004,Male,56,Bachelor,3,Executive,2017,Full-Time
1005,Male,58,Bachelor,6,Manager,2010,Full-Time
1006,Female,40,Bachelor,2,Associate,2021,Full-Time
1007,Male,55,Bachelor,8,Associate,2020,Full-Time
1008,Male,45,Bachelor,5,Senior Engineer,2017,Contract
1009,Male,55,Master,2,Manager,2018,Full-Time
1010,Female,45,Master,4,Senior Engineer,2023,Full-Time
1011,Male,49,High School,1,Manager,2013,Full-Time
1012,Male,38,Bachelor,6,Senior Engineer,2010,Contract
1013,Male,38,High School,2,Associate,2010,Contract
1014,Male,22,Bachelor,1,Associate,2012,Full-Time
1015,Female,55,Bachelor,5,Executive,2023,Full-Time
1016,Male,36,Master,1,Senior Engineer,2014,Full-Time
1017,Female,56,Bachelor,6,Analyst,2014,Full-Time
1018,Female,53,Master,2,Executive,2018,Full-Time
1019,Female,24,PhD,4,Senior Engineer,2019,Full-Time
1020,Male,53,High School,7,Senior Engineer,2023,Full-Time
1021,Female,34,Master,5,Executive,2021,Full-Time
1022,Male,41,Bachelor,2,Associate,2011,Full-Time
1023,Female,40,Bachelor,6,Senior Engineer,2011,Full-Time
1024,Female,28,Bachelor,5,Associate,2015,Full-Time
1025,Female,27,Master,3,Executive,2018,Contract
1026,Female,23,Bachelor,1,Associate,2010,Full-Time
1027,Female,37,Master,7,Manager,2018,Contract
1028,Female,53,Master,6,Analyst,2018,Full-Time
1029,Female,32,Bachelor,3,Senior Engineer,2022,Full-Time
1030,Female,42,PhD,8,Analyst,2018,Full-Time
1031,Male,42,Bachelor,2,Associate,2014,Full-Time
1032,Male,50,Bachelor,4,Senior Engineer,2022,Full-Time
1033,Female,58,Bachelor,5,Associate,2018,Full-Time
1034,Female,58,High School,1,Manager,2020,Full-Time
1035,Female,28,Master,5,Executive,2013,Full-Time
1036,Male,47,Bachelor,7,Senior Engineer,2011,Full-Time
1037,Female,47,Bachelor,2,Manager,2022,Full-Time
1038,Male,54,Master,5,Manager,2015,Full-Time
1039,Male,41,Bachelor,1,Senior Engineer,2023,Full-Time
1040,Male,50,Bachelor,2,Associate,2013,Full-Time
1041,Male,53,Master,5,Manager,2015,Full-Time
1042,Male,48,Master,4,Analyst,2012,Contract
1043,Female,53,Bachelor,6,Manager,2015,Full-Time
1044,Female,25,Master,2,Associate,2011,Full-Time
1045,Female,39,Master,6,Associate,2011,Contract
1046,Female,24,High School,8,Analyst,2022,Full-Time
1047,Female,55,High School,2,Manager,2018,Full-Time
1048,Male,37,Bachelor,4,Associate,2016,Full-Time
1049,Female,48,Bachelor,6,Senior Engineer,2012,Full-Time
1050,Female,50,Bachelor,3,Executive,2022,Full-Time
1051,Male,49,Bachelor,1,Executive,2020,Full-Time
1052,Female,26,Bachelor,3,Executive,2010,Full-Time
1053,Male,55,Bachelor,5,Manager,2017,Full-Time
1054,Female,57,Bachelor,4,Analyst,2023,Contract
1055,Male,44,Bachelor,3,Associate,2015,Full-Time
1056,Female,49,Bachelor,2,Senior Engineer,2016,Full-Time
1057,Female,51,Master,5,Senior Engineer,2018,Full-Time
1058,Male,55,High School,5,Manager,2014,Full-Time
1059,Male,53,Master,3,Executive,2010,Full-Time
1060,Male,41,Bachelor,8,Manager,2021,Full-Time
1061,Male,52,Master,3,Analyst,2019,Full-Time
1062,Male,43,Bachelor,8,Analyst,2016,Contract
1063,Male,53,PhD,4,Associate,2014,Full-Time
1064,Male,23,Bachelor,1,Associate,2012,Full-Time
1065,Male,38,Bachelor,3,Analyst,2021,Full-Time
1066,Female,45,Master,7,Analyst,2022,Full-Time
1067,Female,51,Bachelor,8,Analyst,2018,Full-Time
1068,Male,23,Bachelor,3,Manager,2010,Full-Time
1069,Female,44,High School,6,Analyst,2010,Full-Time
1070,Female,52,Bachelor,2,Senior Engineer,2010,Full-Time
1071,Female,42,Bachelor,7,Executive,2012,Full-Time
1072,Female,43,Bachelor,7,Analyst,2021,Full-Time
1073,Male,22,Master,8,Executive,2015,Full-Time
1074,Female,47,High School,6,Manager,2019,Full-Time
1075,Male,22,Bachelor,6,Executive,2020,Full-Time
1076,Female,46,Bachelor,5,Manager,2012,Full-Time
1077,Female,37,High School,8,Senior Engineer,2017,Full-Time
1078,Female,53,Bachelor,1,Manager,2023,Full-Time
1079,Male,29,Master,2,Manager,2023,Full-Time
1080,Female,59,Bachelor,4,Associate,2019,Full-Time
1081,Male,49,High School,7,Analyst,2011,Contract
1082,Female,46,Bachelor,4,Analyst,2023,Full-Time
1083,Male,55,High School,3,Senior Engineer,2018,Contract
1084,Female,45,Master,3,Senior Engineer,2012,Full-Time
1085,Male,44,High School,4,Analyst,2014,Full-Time
1086,Male,33,Bachelor,3,Associate,2019,Full-Time
1087,Female,27,PhD,1,Analyst,2017,Full-Time
1088,Male,56,Bachelor,6,Associate,2011,Full-Time
1089,Female,40,Master,3,Senior Engineer,2015,Full-Time
1090,Female,21,Bachelor,5,Executive,2021,Full-Time
1091,Female,28,Master,3,Senior Engineer,2014,Full-Time
1092,Female,36,Bachelor,2,Senior Engineer,2022,Full-Time
1093,Female,34,Master,1,Manager,2019,Full-Time
1094,Female,32,High School,2,Manager,2018,Full-Time
1095,Female,43,High School,2,Manager,2021,Full-Time
1096,Female,35,High School,5,Manager,2014,Full-Time
1097,Female,48,Master,1,Associate,2011,Full-Time
1098,Female,54,Master,1,Analyst,2014,Full-Time
1099,Female,22,Master,8,Executive,2021,Contract
1100,Male,52,High School,1,Senior Engineer,2013,Contract
1101,Male,43,Master,1,Associate,2020,Full-Time
1102,Female,42,Bachelor,1,Executive,2016,Full-Time
1103,Female,45,Bachelor,5,Associate,2015,Full-Time
1104,Female,42,High School,3,Associate,2023,Full-Time
1105,Female,42,Master,8,Senior Engineer,2011,Full-Time
1106,Female,26,High School,2,Analyst,2021,Full-Time
1107,Female,35,Bachelor,1,Manager,2020,Full-Time
1108,Female,57,Master,7,Analyst,2020,Contract
1109,Female,53,High School,3,Senior Engineer,2022,Full-Time
1110,Male,28,Bachelor,3,Senior Engineer,2014,Full-Time
1111,Female,25,Bachelor,2,Senior Engineer,2016,Full-Time
1112,Male,59,Bachelor,5,Executive,2020,Contract
1113,Female,24,Bachelor,4,Analyst,2016,Full-Time
1114,Female,26,Bachelor,4,Analyst,2014,Full-Time
1115,Male,52,Bachelor,3,Associate,2021,Full-Time
1116,Female,50,Bachelor,6,Associate,2018,Full-Time
1117,Male,55,Bachelor,6,Associate,2013,Full-Time
