RecordID,EmployeeID,DepartmentID,Year,Month,BaseSalary,Bonus,OvertimeHours,AbsenteeismDays,PerformanceRating,TrainingHours,AttritionFlag,WorkLifeBalanceScore,JobSatisfactionScore
1,1214,1,2022,7,30622,7399,3,0,3,35,0,1,3
2,1116,1,2022,7,108797,22722,26,4,3,24,0,2,5
3,1092,2,2022,1,118955,28508,22,1,3,28,1,3,2
4,1270,2,2024,11,116141,25117,28,5,5,10,1,2,1
5,1381,4,2024,6,119707,358,8,4,3,3,0,5,1
6,1168,5,2023,7,112700,849,6,3,4,13,0,5,5
7,1058,8,2024,11,104332,7498,3,5,4,37,0,3,2
8,1284,7,2023,6,91201,4522,4,4,3,16,0,2,2
9,1026,1,2023,6,57694,18928,4,0,4,1,0,3,2
10,1369,5,2024,2,114766,12773,10,7,5,7,0,2,3
11,1066,7,2024,6,47995,18215,27,6,3,35,0,2,5
12,1248,7,2023,4,117320,17856,15,0,5,9,0,5,1
13,1254,8,2024,9,105141,9628,29,5,3,6,1,4,2
14,1387,4,2022,12,107999,329,3,7,2,35,0,1,5
15,1044,7,2024,1,33419,5851,1,7,5,15,1,1,1
16,1097,8,2022,8,72952,7032,2,7,4,13,0,3,3
17,1042,7,2023,5,58837,15326,20,2,5,15,0,1,4
18,1227,1,2023,1,95799,5266,5,6,4,24,1,5,1
19,1262,1,2023,4,73877,4354,17,1,5,3,1,4,1
20,1167,6,2022,1,70687,22819,4,5,4,28,0,2,1
21,1279,5,2024,6,62276,24362,8,3,4,5,0,2,4
22,1089,3,2022,2,59523,20622,19,1,4,0,0,5,2
23,1379,8,2023,5,91055,22496,27,4,3,38,0,1,4
24,1178,2,2022,7,79615,28584,25,6,5,0,1,2,1
25,1197,8,2023,2,35514,15082,17,3,3,39,0,1,3
26,1307,3,2023,6,72456,4722,18,3,4,2,0,5,1
27,1267,5,2023,6,32233,17772,2,0,3,0,0,2,3
28,1268,2,2022,5,26102,20569,8,4,4,0,0,3,5
29,1074,3,2022,5,91133,8911,35,0,3,38,0,4,3
30,1008,6,2023,3,71715,3235,30,0,1,20,0,1,1
